,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0009147256049380392,3.896881048090664e-05,6.960426368845329e-06,0.2563034550280846,0.2733226679247399,0.2999130495809246,0.3903897810966227,0.4793650793650794,0.5238095238095238
1,0.0211186814469196,6.960426368845329e-06,0.0006610991533374298,0.1389780751898082,0.24393354216228924,0.15052116988515196,0.2715056502276923,0.5238095238095238,0.3968253968253969
2,0.1856759813614489,1.4813440086803073e-05,2.1403888385379158e-05,0.0773055592178169,0.20938845905183054,0.25330964997518024,0.15583460397684115,0.5047619047619047,0.4952380952380953
3,0.02804166255020193,1.4813440086803073e-05,4.7254772654333166e-06,0.21133264477485506,0.2507570162783729,0.2855941338943644,0.25865331175537554,0.5047619047619047,0.5333333333333333
4,0.02804166255020193,6.97018863481388e-05,2.725883469403675e-05,0.17510157576700214,0.21302985654330486,0.2663722095294001,0.25865331175537554,0.4634920634920635,0.4888888888888889
5,0.0071904803547328455,5.5354895468880116e-05,3.0729255454863754e-05,0.16799290188626093,0.21135192097752545,0.25946208102061463,0.3164888348808011,0.4698412698412699,0.4857142857142858
6,0.009916186800695809,0.0005407632364550595,7.908234593949084e-06,0.132860164849123,0.16086693316930056,0.2589466343959186,0.30363649640848434,0.4031746031746032,0.5206349206349207
7,0.15196291488193714,0.0002354005718199569,0.0013065779900060632,0.1466158706481474,0.20769044474749088,0.20960464854991132,0.16868694244915794,0.4285714285714286,0.3746031746031746
8,0.02801313792594155,1.3084561614400615e-05,3.896881048090664e-05,0.16491244721283782,0.19899664858614008,0.24040458484601698,0.2590648526866802,0.5079365079365079,0.4793650793650794
9,0.003068673799791139,2.1403888385379158e-05,9.413344836043171e-07,0.15883149056350254,0.206484509881958,0.2901013642516258,0.3486196810615931,0.4952380952380953,0.5714285714285715
