,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,0.03444372981007681,1.8946218521807865e-05,2.4430075489699315e-06,0.17087765094816276,0.2821901079698557,0.3345872021037307,0.24901405790113795,0.4984126984126985,0.5492063492063493,0
1,0.05608814644032081,0.0011878868139342381,9.79657492449609e-05,0.14328877057579606,0.15353548955876584,0.21438353074336924,0.22509464075362776,0.3777777777777779,0.45396825396825397,1
2,0.07387617561949526,0.001079227358106362,1.675882899619825e-05,0.11203057857304977,0.20983266642346154,0.27825815235313145,0.2104570424841876,0.38095238095238093,0.5015873015873016,2
3,0.039373515394458415,0.0011878868139342381,1.630365470900112e-06,0.20144182903852287,0.16837933193473786,0.3374812107027331,0.2425878886649795,0.3777777777777779,0.5587301587301587,3
4,0.016953221103237204,4.383669461381192e-05,1.0186808536110021e-05,0.18061162517413032,0.21184803336529467,0.2887410924388921,0.28114490408192994,0.4761904761904763,0.5142857142857143,4
5,0.032183299618086435,7.813183380689111e-05,2.4430075489699315e-06,0.18986828016461726,0.25415529921379554,0.3192004723852183,0.25222714251921713,0.4603174603174604,0.5492063492063493,5
6,0.05104409275985927,0.00965434206651231,7.908234593949084e-06,0.18615366953173373,0.11580058019818885,0.25796323143828537,0.22973555019266276,0.3015873015873016,0.5206349206349207,6
7,0.10153794509830244,0.0013065779900060632,1.1549236970298755e-05,0.12844743692189986,0.15995013050291373,0.2800293796246485,0.19293826350310952,0.3746031746031746,0.5111111111111112,7
8,0.1298998042361317,2.725883469403675e-05,5.380455334598277e-06,0.09637766277687287,0.2773964702853914,0.30654870047079263,0.17832619630339555,0.4888888888888889,0.5301587301587302,8
9,0.008455593354695501,0.00012248812047669782,3.896881048090664e-05,0.1294061622401289,0.19005398698131806,0.24994411981858145,0.3100626656446427,0.4476190476190477,0.4793650793650794,9
