,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.4125338869631629,0.000257372227056324,0.0007275648003932548,0.0467037085121873,0.22320860350178906,0.2323354800626316,0.08130248773275119,0.3605442176870748,0.3333333333333333
1,0.8427388548254696,0.0002942264463117645,0.0004969155988576264,0.031152217697898,0.2331025592341805,0.28535065555680217,0.019683760187929236,0.3571428571428571,0.3435374149659864
2,0.951852997084512,1.7653083568130594e-05,0.0003144550517101304,-0.007814998064259449,0.28398698503168185,0.3149536175138481,0.005990709622413245,0.42346938775510207,0.35544217687074825
3,0.3742996055677954,0.00018328322054061435,5.898289676856399e-05,0.03077949261898805,0.2700753129253366,0.28213691504209937,0.08814901301550918,0.36904761904761896,0.3962585034013605
4,0.14491072832781887,0.0010546110577946649,4.7304095434108695e-05,0.06981846421881965,0.23187804298484405,0.3088505559004437,0.14463284659826262,0.32312925170068024,0.401360544217687
5,0.4224423284134203,0.004447479999753712,0.0003832279737729962,0.018758346565873385,0.20111952217784732,0.2647922769883493,0.07959085641206168,0.2806122448979592,0.3503401360544217
6,0.09596014467922573,4.392481387707453e-05,4.392481387707453e-05,0.07818978292259304,0.2337430701935572,0.2735228538963508,0.1651724224465366,0.4030612244897959,0.4030612244897959
7,0.0002464434310593804,0.014363837862090981,0.00022488109683356435,0.21017564353578624,0.15374092842039233,0.3154876895323706,0.3637216556465184,0.24149659863945575,0.3639455782312925
8,0.6475540602658706,5.898289676856399e-05,9.7727549628152e-05,0.01364533069399998,0.3035128390222385,0.3022575481500979,0.045358229998271715,0.3962585034013605,0.3843537414965986
9,0.2584895649039953,0.001513411499636998,0.0024118878129258943,0.07127416387677799,0.23038785173791046,0.2102787942195763,0.11211185150516216,0.3129251700680272,0.2993197278911564
